X,Y,Z,Cp
3.027396189083166291e+02,0.000000000000000000e+00,-3.371604317667944883e+01,-3.694314565961038244e-01
3.042940725978110095e+02,0.000000000000000000e+00,-3.398943087798930662e+01,-4.353973120869773505e-01
3.054079568183738616e+02,0.000000000000000000e+00,-3.418737371465653041e+01,-4.850102760356791443e-01
3.060777137466906765e+02,0.000000000000000000e+00,-3.430721157037049807e+01,-5.157923218648136077e-01
3.063006414713830736e+02,0.000000000000000000e+00,-3.434715732389527432e+01,-5.261972246934130126e-01
0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+01,1.000000000000000000e+00
2.002658244404578181e-01,0.000000000000000000e+00,-5.059446233305204288e+01,9.804815692600223898e-01
8.466335484084936969e-01,0.000000000000000000e+00,-5.117133666113578983e+01,9.219651294300892364e-01
1.949691168920385742e+00,0.000000000000000000e+00,-5.170303337442705072e+01,8.246491624938718790e-01
3.515604445181120141e+00,0.000000000000000000e+00,-5.215429698555143290e+01,6.898702536017224940e-01
5.545312857794187700e+00,0.000000000000000000e+00,-5.248445399653235199e+01,5.201368189372732598e-01
8.034446017253610961e+00,0.000000000000000000e+00,-5.265026002526675342e+01,3.190468156987528170e-01
1.097409486380404431e+01,0.000000000000000000e+00,-5.260913402575066300e+01,9.109181676240987735e-02
1.435240898424301292e+01,0.000000000000000000e+00,-5.232245261402666614e+01,-1.586222192877239645e-01
1.815676027062232478e+01,0.000000000000000000e+00,-5.175854754160960169e+01,-4.246814939006673395e-01
2.237599265257728831e+01,0.000000000000000000e+00,-5.089514484021540142e+01,-7.016308859266918718e-01
2.700151043746099688e+01,0.000000000000000000e+00,-4.971925766241484013e+01,-9.841012393332166930e-01
3.200668371233231824e+01,0.000000000000000000e+00,-4.817535072108326943e+01,-1.265615881769335926e+00
3.736197811562028903e+01,0.000000000000000000e+00,-4.623021216287832402e+01,-1.540030932793132745e+00
4.304265905611559617e+01,0.000000000000000000e+00,-4.388456479668242594e+01,-1.802061125282628407e+00
4.902350740775032989e+01,0.000000000000000000e+00,-4.115580549579392056e+01,-2.046985509735056219e+00
5.527879882878912809e+01,0.000000000000000000e+00,-3.807927545167977712e+01,-2.270712336766221195e+00
6.178204184190532544e+01,0.000000000000000000e+00,-3.470916160018777674e+01,-2.469818050203155479e+00
6.841267076295211780e+01,0.000000000000000000e+00,-3.095115084076060441e+01,-2.639247778200100925e+00
7.531861095641571069e+01,0.000000000000000000e+00,-2.721567031911733281e+01,-2.781952215870912237e+00
8.238648997801750795e+01,0.000000000000000000e+00,-2.346373369938526565e+01,-2.894096311218823825e+00
8.957754129178246671e+01,0.000000000000000000e+00,-1.982590577951659228e+01,-2.975035042405183905e+00
9.683828477696749815e+01,0.000000000000000000e+00,-1.646863592130214471e+01,-3.024891690051898507e+00
1.041460756584044276e+02,0.000000000000000000e+00,-1.358487462933425860e+01,-3.044796948712491513e+00
1.114789623461465879e+02,0.000000000000000000e+00,-1.126597620143483169e+01,-3.036268447509810287e+00
1.187844266276844678e+02,0.000000000000000000e+00,-9.667087951531286194e+00,-3.001384764331820332e+00
1.260917056818253172e+02,0.000000000000000000e+00,-8.926768602363864602e+00,-2.942117907861335979e+00
1.337040749634979022e+02,0.000000000000000000e+00,-9.072306982718458812e+00,-2.856631367542796340e+00
1.416639247946050659e+02,0.000000000000000000e+00,-9.430923259265576064e+00,-2.744276265160747741e+00
1.497001769071075898e+02,0.000000000000000000e+00,-9.883845007529899362e+00,-2.610079822301287322e+00
1.577497250598217704e+02,0.000000000000000000e+00,-1.042912448163440331e+01,-2.457846143306377407e+00
1.657901599637638981e+02,0.000000000000000000e+00,-1.106564934218742025e+01,-2.291098702096235229e+00
1.737990355431093690e+02,0.000000000000000000e+00,-1.179107405516404583e+01,-2.113511737750130237e+00
1.817539347610657501e+02,0.000000000000000000e+00,-1.260185296933153865e+01,-1.928821518096462073e+00
1.896325356171016097e+02,0.000000000000000000e+00,-1.349329109288431994e+01,-1.740737884987437534e+00
1.974126767112278742e+02,0.000000000000000000e+00,-1.445961098123759569e+01,-1.552858318488181233e+00
2.050724219019504062e+02,0.000000000000000000e+00,-1.549403387526466247e+01,-1.368586685147884729e+00
2.125901237258405558e+02,0.000000000000000000e+00,-1.658887304656646222e+01,-1.191058701206098469e+00
2.199176728281640010e+02,0.000000000000000000e+00,-1.787525846009008745e+01,-1.023563484413088753e+00
2.270900091240248173e+02,0.000000000000000000e+00,-1.904636553850849623e+01,-8.674779739472529005e-01
2.340579464793601403e+02,0.000000000000000000e+00,-2.025139155991114137e+01,-7.253201491012292168e-01
2.408014948543565765e+02,0.000000000000000000e+00,-2.148036615848044306e+01,-5.986060423349582882e-01
2.473012532536246511e+02,0.000000000000000000e+00,-2.272292633752137903e+01,-4.883662566235298375e-01
2.535384693130019969e+02,0.000000000000000000e+00,-2.396843918635036630e+01,-3.951404817082506682e-01
2.594950970578155989e+02,0.000000000000000000e+00,-2.520612532953192186e+01,-3.189856260358175932e-01
2.651538528450466856e+02,0.000000000000000000e+00,-2.642518133229082977e+01,-2.594971848500396971e-01
2.704982695109063684e+02,0.000000000000000000e+00,-2.761489944327879442e+01,-2.158431043644790104e-01
2.755127487302633540e+02,0.000000000000000000e+00,-2.876478323942021831e+01,-1.868090615600887239e-01
2.801826115583266414e+02,0.000000000000000000e+00,-2.986465793773773925e+01,-1.708537672370256388e-01
2.844941470726450348e+02,0.000000000000000000e+00,-3.090477434653386624e+01,-1.661726242188097946e-01
2.884346589705926931e+02,0.000000000000000000e+00,-3.187590563435956525e+01,-1.707678401883986896e-01
2.919925099103320463e+02,0.000000000000000000e+00,-3.276943629203077535e+01,-1.825229120297967578e-01
2.951064819400023680e+02,0.000000000000000000e+00,-3.374409452736006898e+01,-1.990018049615772111e-01
2.977193886245679550e+02,0.000000000000000000e+00,-3.494138347883455964e+01,-2.175230309582965316e-01
2.999406182121200004e+02,0.000000000000000000e+00,-3.596808043637873453e+01,-2.366873267950208026e-01
3.017650287145244192e+02,0.000000000000000000e+00,-3.681746224905702292e+01,-2.548306850786918876e-01
3.031884019558328305e+02,0.000000000000000000e+00,-3.748395562240970946e+01,-2.705176131792018657e-01
