X,Y,Z,Cp
2.730508733394776186e+02,0.000000000000000000e+00,-3.799146894085617987e+01,-2.173174310134760034e-01
2.751005990917958002e+02,0.000000000000000000e+00,-3.886695004646892215e+01,-2.364557943320258482e-01
2.767779346943478913e+02,0.000000000000000000e+00,-3.961554813470111469e+01,-2.545163084807144926e-01
2.780865631325810341e+02,0.000000000000000000e+00,-4.020239949835543314e+01,-2.701291257795105372e-01
2.790234609657733813e+02,0.000000000000000000e+00,-4.062406036638696349e+01,-2.821377085783296490e-01
2.795864655686316951e+02,0.000000000000000000e+00,-4.087805300644789952e+01,-2.896906166358683699e-01
2.797748254511786854e+02,0.000000000000000000e+00,-4.096302406472838697e+01,-2.922742392021496216e-01
4.942433951554287552e-01,8.080808080808081328e+00,-5.000000000000000000e+01,1.000000000000000000e+00
7.249264793470416857e-01,8.080808080808081328e+00,-4.825842712365855647e+01,9.669120596130100775e-01
1.312681159277630627e+00,8.080808080808081328e+00,-4.657441024289911979e+01,8.703580857644437341e-01
2.222368281624683917e+00,8.080808080808081328e+00,-4.494790660869958288e+01,7.180909814542006941e-01
3.424497834493375859e+00,8.080808080808081328e+00,-4.337139481169630528e+01,5.175148353526108913e-01
4.897181690679845545e+00,8.080808080808081328e+00,-4.183027450223210053e+01,2.751490693560419976e-01
6.627463832527148213e+00,8.080808080808081328e+00,-4.030299140494530263e+01,-3.663938319860665996e-03
8.611703320080309254e+00,8.080808080808081328e+00,-3.876092360816586790e+01,-3.147677004341271623e-01
1.085475071527616642e+01,8.080808080808081328e+00,-3.716826442403022668e+01,-6.549144016045002070e-01
1.336788260702765641e+01,8.080808080808081328e+00,-3.548229831800911427e+01,-1.021257687476769593e+00
1.616579937155814406e+01,8.080808080808081328e+00,-3.365449302399863285e+01,-1.410735861696533089e+00
1.926386026925975514e+01,8.080808080808081328e+00,-3.163436753378352506e+01,-1.819583479829585126e+00
2.269263257620921692e+01,8.080808080808081328e+00,-2.941973674687154983e+01,-2.245218445423482478e+00
2.648336490206413885e+01,8.080808080808081328e+00,-2.700479116520247658e+01,-2.683695948628077144e+00
3.066016923484975365e+01,8.080808080808081328e+00,-2.437483250927983391e+01,-3.128758237861215985e+00
3.524347618961174078e+01,8.080808080808081328e+00,-2.152629275634429007e+01,-3.572508742323526665e+00
4.024994423801037158e+01,8.080808080808081328e+00,-1.846983143258209026e+01,-4.005603594847861437e+00
4.569324823180089368e+01,8.080808080808081328e+00,-1.523289861359005926e+01,-4.417576348408001508e+00
5.187504877446225748e+01,8.080808080808081328e+00,-1.245390208386517372e+01,-4.815301920019796178e+00
5.825144348259079408e+01,8.080808080808081328e+00,-9.079725206566614304e+00,-5.148493678714393340e+00
6.509345812652735219e+01,8.080808080808081328e+00,-5.727726575420128086e+00,-5.424982066260447766e+00
7.243411094776730863e+01,8.080808080808081328e+00,-2.503604597526155828e+00,-5.633816716753370812e+00
8.034603037149750548e+01,8.080808080808081328e+00,4.521457704727112059e-01,-5.763911445997102589e+00
8.878072517758550930e+01,8.080808080808081328e+00,2.887826277621549309e+00,-5.802334367051150465e+00
9.769105644485009066e+01,8.080808080808081328e+00,4.620549504772618832e+00,-5.740404479753677514e+00
1.070557345693247129e+02,8.080808080808081328e+00,5.409222649218932588e+00,-5.573447917657690098e+00
1.158697448568016029e+02,8.080808080808081328e+00,5.069704085773075519e+00,-5.332079844347391351e+00
1.236858482520749902e+02,8.080808080808081328e+00,4.320192769629294105e+00,-5.058983535195006098e+00
1.312427147257389208e+02,8.080808080808081328e+00,3.442952329326772087e+00,-4.750111384799127201e+00
1.388155969210760929e+02,8.080808080808081328e+00,2.434420541057733089e+00,-4.403713581065360039e+00
1.463817596016552329e+02,8.080808080808081328e+00,1.301343991431465952e+00,-4.028034706182047842e+00
1.539187550445765282e+02,8.080808080808081328e+00,5.115017121741516348e-02,-3.631639783966708279e+00
1.614044802127762068e+02,8.080808080808081328e+00,-1.308101477229371312e+00,-3.223188164579368742e+00
1.688172302960074660e+02,8.080808080808081328e+00,-2.767758084470550273e+00,-2.811213831934557206e+00
1.761357499101023052e+02,8.080808080808081328e+00,-4.318603133883890166e+00,-2.403917469180343325e+00
1.833392829524234457e+02,8.080808080808081328e+00,-5.950879850425536688e+00,-2.008975101621371273e+00
1.904076217575983492e+02,8.080808080808081328e+00,-7.654310980318179247e+00,-1.633367563731772387e+00
1.973211558211887109e+02,8.080808080808081328e+00,-9.418117938363884889e+00,-1.283234406642474568e+00
2.041361913138297552e+02,8.080808080808081328e+00,-1.074828253405031830e+01,-9.609215062119701445e-01
2.106775985946840706e+02,8.080808080808081328e+00,-1.266190295366532581e+01,-6.766826966531900300e-01
2.170087981575199478e+02,8.080808080808081328e+00,-1.459763844748568573e+01,-4.302672093896260930e-01
2.231133157079051728e+02,8.080808080808081328e+00,-1.654212777732946194e+01,-2.235327350432437798e-01
2.289754844960276898e+02,8.080808080808081328e+00,-1.848189198512071840e+01,-5.721281998623412024e-02
2.345804693396238179e+02,8.080808080808081328e+00,-2.040340182066830721e+01,6.904724471161594046e-02
2.399142877977695036e+02,8.080808080808081328e+00,-2.229314966854509805e+01,1.566274218436757848e-01
2.449638279975796422e+02,8.080808080808081328e+00,-2.413772698446959453e+01,2.078454140061109512e-01
2.497168626303254655e+02,8.080808080808081328e+00,-2.592390784464628695e+01,2.258477688906516123e-01
2.541620587146594801e+02,8.080808080808081328e+00,-2.763873875284510007e+01,2.144831716698132884e-01
2.582889828637020173e+02,8.080808080808081328e+00,-2.926963436598685320e+01,1.781618172108573872e-01
2.620881019766471809e+02,8.080808080808081328e+00,-3.080447831614502974e+01,1.217049591864793889e-01
2.655507794882199164e+02,8.080808080808081328e+00,-3.223172785054403988e+01,5.018881293623289608e-02
2.686692675329816211e+02,8.080808080808081328e+00,-3.354052060449382111e+01,-3.121305292916431995e-02
2.714366955980282228e+02,8.080808080808081328e+00,-3.472078148529652708e+01,-1.173848550957132253e-01
2.738470564298916088e+02,8.080808080808081328e+00,-3.576332739418240436e+01,-2.034175337394554806e-01
2.760717675527466781e+02,8.080808080808081328e+00,-3.594740497069763308e+01,-2.912667077154149631e-01
2.779077747874804913e+02,8.080808080808081328e+00,-3.607921853781001431e+01,-3.704693384674762613e-01
2.793419833690735459e+02,8.080808080808081328e+00,-3.618492860086907115e+01,-4.366433165088417501e-01
2.803697493838994319e+02,8.080808080808081328e+00,-3.626215804408865040e+01,-4.864170758301031849e-01
2.809877438902226459e+02,8.080808080808081328e+00,-3.630918867862787636e+01,-5.173005984705270066e-01
2.811934232315668964e+02,8.080808080808081328e+00,-3.632484411576458427e+01,-5.277389432872062747e-01
4.942433951554287552e-01,8.080808080808081328e+00,-5.000000000000000000e+01,1.000000000000000000e+00
6.598608578275144687e-01,8.080808080808081328e+00,-5.175115657923024770e+01,9.796551203181054213e-01
1.260113496847610648e+00,8.080808080808081328e+00,-5.345510363078584248e+01,9.179455339217802434e-01
2.327449319452153276e+00,8.080808080808081328e+00,-5.508585754129162382e+01,8.130413077351786866e-01
3.886846174910642215e+00,8.080808080808081328e+00,-5.660900344807909335e+01,6.648434876288307205e-01
5.953819852461659679e+00,8.080808080808081328e+00,-5.798340896564327096e+01,4.752224417404422030e-01
8.533041438314874938e+00,8.080808080808081328e+00,-5.916396326618163926e+01,2.480730800653584145e-01
1.161789099193447683e+01,8.080808080808081328e+00,-6.010521397047047287e+01,-1.085034743180479481e-02
1.519120969913304897e+01,8.080808080808081328e+00,-6.076555325825096077e+01,-2.943181356013322425e-01
1.922728919364327638e+01,8.080808080808081328e+00,-6.111142483336057296e+01,-5.941733148004469944e-01
2.369479661982587970e+01,8.080808080808081328e+00,-6.112098187812828343e+01,-9.019430298006071434e-01
2.855946530581795173e+01,8.080808080808081328e+00,-6.078507879346751963e+01,-1.209359154432740890e+00
3.376947846790157115e+01,8.080808080808081328e+00,-6.006183209705044135e+01,-1.507767949347706526e+00
3.926993994115116493e+01,8.080808080808081328e+00,-5.893312656797873217e+01,-1.789624397518880361e+00
4.501065144801697215e+01,8.080808080808081328e+00,-5.741408326953339269e+01,-2.049041335074945902e+00
5.094263576419543682e+01,8.080808080808081328e+00,-5.553670716670389140e+01,-2.281548121734222168e+00
5.701822850849223556e+01,8.080808080808081328e+00,-5.334977693513984320e+01,-2.484056542530340028e+00
6.319031630593205051e+01,8.080808080808081328e+00,-5.091846335649339750e+01,-2.654758198655375434e+00
6.912142229206442323e+01,8.080808080808081328e+00,-4.773143192166335780e+01,-2.786917964574557871e+00
7.531733981399847266e+01,8.080808080808081328e+00,-4.500360067832569655e+01,-2.894266144582758660e+00
8.146675754139309333e+01,8.080808080808081328e+00,-4.231336604521290212e+01,-2.971117964366552844e+00
8.749434314635220744e+01,8.080808080808081328e+00,-3.978288546052198171e+01,-3.019434700539155081e+00
9.328254018119301350e+01,8.080808080808081328e+00,-3.755805669335510544e+01,-3.042172006403148998e+00
9.883188072814729708e+01,8.080808080808081328e+00,-3.575220652647166730e+01,-3.043512760059405853e+00
1.041447952326761595e+02,8.080808080808081328e+00,-3.438910200248007243e+01,-3.027151430486421102e+00
1.091944583532235669e+02,8.080808080808081328e+00,-3.353581368490973347e+01,-2.996553506736477246e+00
1.149389229242180477e+02,8.080808080808081328e+00,-3.324717189799089567e+01,-2.945024745744864170e+00
1.218123916288334243e+02,8.080808080808081328e+00,-3.315729902596622480e+01,-2.861980204366488145e+00
1.290463401807958519e+02,8.080808080808081328e+00,-3.309411071873824284e+01,-2.752075703234794446e+00
1.363235478010836061e+02,8.080808080808081328e+00,-3.305334841772468479e+01,-2.621143138069867096e+00
1.436246471617553766e+02,8.080808080808081328e+00,-3.303933687949650988e+01,-2.472243212205356144e+00
